Sample Name,400-410,410-420,420-430,430-440,440-450,450-460,460-470,470-480,480-490,490-500,500-510,510-520,520-530,530-540,540-550,550-560,560-570,570-580,580-590,590-600,600-610,610-620,620-630,630-640,640-650,650-660,660-670,670-680,680-690,690-700,700-710,710-720,720-730,730-740,740-750,750-760,760-770,770-780,780-790,790-800,Class
71,0.000009,0.000019,0.000026,0.000034,0.000715,0.001132,0.005472,0.014536,0.0119,0.006388,0.009876,0.011901,0.012342,0.011508,0.013274,0.012814,0.010025,0.0126,0.017696,0.021205,0.014669,0.006568,0.003897,0.001858,0.000991,0.000494,0.000298,0.000272,0.000306,0.000306,0.000253,0.000157,0.000057,0.000031,0.000028,0.00001,0,0,0,0,Drinkable
72,0,0.000002,0.000002,0.000006,0.000026,0.000203,0.000794,0.00602,0.011671,0.008813,0.006375,0.010946,0.014642,0.0126,0.011891,0.014022,0.012737,0.012351,0.015623,0.020767,0.015007,0.005343,0.004229,0.003007,0.00161,0.000857,0.000523,0.000427,0.000401,0.000387,0.000475,0.000322,0.000106,0.000092,0.000092,0.000044,0.000004,0,0,0,Drinkable
73,0,0,0.000046,0.008512,0.012935,0.006945,0.005025,0.006394,0.008639,0.010644,0.015503,0.016195,0.012717,0.013124,0.017022,0.023001,0.017554,0.007637,0.004918,0.002287,0.000731,0.000678,0.000516,0.000263,0.000132,0.000181,0.000241,0.000147,0.000398,0.001416,0.001134,0.000088,0,0,0,0,0,0,0,0,Drinkable
74,0,0,0,0,0.001574,0.007597,0.010135,0.00703,0.005811,0.005374,0.006024,0.009523,0.012028,0.013485,0.018738,0.021313,0.017847,0.017612,0.012099,0.007663,0.006794,0.002216,0.001099,0.000836,0.000934,0.001107,0.001092,0.000678,0.000909,0.000929,0.001114,0.000965,0.00013,0,0,0,0,0,0,0,Drinkable
75,0,0,0,0,0.003249,0.007797,0.006352,0.003956,0.005382,0.014062,0.016129,0.010979,0.012935,0.016786,0.023164,0.027569,0.021134,0.008482,0.001962,0.001424,0.001554,0.001374,0.001854,0.001775,0.000847,0.00062,0.000431,0.00033,0.000203,0.000104,0.000124,0.000219,0.000305,0.001576,0.001462,0.000035,0,0,0,0,Drinkable
76,0,0,0,0.000223,0.007308,0.010579,0.005776,0.004243,0.004593,0.00583,0.007213,0.009869,0.013207,0.012071,0.00891,0.010919,0.013034,0.011653,0.012128,0.014504,0.019107,0.01359,0.004473,0.00372,0.001991,0.000799,0.00037,0.000152,0.000285,0.00046,0.000661,0.000884,0.000449,0.000007,0,0,0,0,0,0,Drinkable
77,0,0,0.000003,0.000003,0.001166,0.00674,0.008563,0.004633,0.003923,0.007491,0.018186,0.017189,0.009742,0.012309,0.016787,0.022832,0.026427,0.019384,0.006778,0.001642,0.001183,0.001077,0.001146,0.001979,0.002023,0.001026,0.000712,0.000649,0.000502,0.000297,0.000239,0.000576,0.00096,0.002072,0.001937,0.000379,0,0,0,0,Drinkable
78,0,0,0,0,0.00001,0.00003,0.00069,0.004131,0.008247,0.008741,0.005971,0.004849,0.006246,0.007332,0.009217,0.011863,0.011275,0.009597,0.01023,0.012795,0.017586,0.02107,0.018894,0.012186,0.006152,0.002958,0.001735,0.001055,0.000605,0.000519,0.00033,0.000336,0.001207,0.000984,0.000127,0.000111,0.000036,0,0,0,Drinkable
79,0.000009,0.000009,0.000003,0.000013,0.00002,0.000016,0.000016,0.000036,0.000102,0.000684,0.010871,0.017262,0.015859,0.024411,0.043084,0.038034,0.014586,0.007447,0.007964,0.008448,0.005973,0.003067,0.002114,0.00194,0.001684,0.001417,0.000766,0.000507,0.000383,0.000381,0.000308,0.000244,0.000265,0.000096,0.000006,0,0,0,0,0,Drinkable
80,0.000012,0.00002,0.000028,0.000185,0.003439,0.012973,0.015625,0.012462,0.01276,0.014803,0.019273,0.022721,0.023156,0.01527,0.01032,0.011169,0.006554,0.002361,0.001984,0.002373,0.001916,0.000999,0.000671,0.000738,0.00071,0.000545,0.00028,0.000248,0.000897,0.000787,0.00003,0,0,0,0,0,0,0,0,0,Drinkable
